model,fold,mae_all,mae_peak,pinball_p90,composite,window,feature_set,n_features
hgb_resid,fold4,127.55313751803212,43.25098120314869,17.663612890941476,80.28458569814896,from_2025_09_24,no_weather,71
xgb_resid,fold1,173.4478922092489,320.8167482263902,109.08113167573299,204.7851969076881,from_2025_09_24,no_weather,71
xgb_resid,fold2,154.90824507212355,160.32345715691062,59.047513784092104,137.3606624399534,from_2025_09_24,no_weather,71
xgb_resid,fold3,163.22272365930536,288.83011559879077,92.4787971213176,186.75615593355343,from_2025_09_24,no_weather,71
xgb_resid,fold4,166.10798512753985,44.53355497472427,20.206393855448272,100.45533782727685,from_2025_09_24,no_weather,71
xgb_direct,fold1,292.80203501383465,589.961623247932,246.4916113417489,372.6878267496468,from_2025_09_24,no_weather,71
xgb_direct,fold2,163.43209802536737,186.7037784352022,67.37055898393903,151.20129434003215,from_2025_09_24,no_weather,71
xgb_direct,fold3,142.6378217424665,232.21658863740808,93.09093507494245,159.60207447744418,from_2025_09_24,no_weather,71
xgb_direct,fold4,209.69241659981864,98.08977912454044,24.33591765994117,139.1403255692597,from_2025_09_24,no_weather,71
rf_resid,fold1,210.98215295232603,370.0958772922977,140.05680401774697,244.53120046740173,from_2025_09_24,no_weather,71
rf_resid,fold2,169.39344921250358,123.88903379559618,51.61787749846882,132.18701024462442,from_2025_09_24,no_weather,71
rf_resid,fold3,176.93951325050278,263.2496357218508,96.1766284230083,186.67997302640828,from_2025_09_24,no_weather,71
rf_resid,fold4,215.09218715707433,142.26247008605523,38.55872107142932,157.9365788186396,from_2025_09_24,no_weather,71
ridge_resid,fold1,226.27475286430152,502.96438595131536,81.17280464719303,280.26125314698396,from_2025_09_24,all,80
ridge_resid,fold2,288.8042114657619,99.69719444807048,43.83655777684515,183.0785756226711,from_2025_09_24,all,80
ridge_resid,fold3,140.30582647117222,129.9124959421506,35.31252401282813,116.18916682079691,from_2025_09_24,all,80
ridge_resid,fold4,309.70239750795525,239.77683399284382,47.78557006538678,236.34136296490811,from_2025_09_24,all,80
ridge_direct,fold1,222.43292476206253,508.7796651398232,82.91199348222963,280.43276061942413,from_2025_09_24,all,80
ridge_direct,fold2,266.07693590866415,112.38699658088122,42.21782586154974,175.19813210090638,from_2025_09_24,all,80
